tracker,score_reducer,order_id,horizon,sequence_count,causal_prefix_t_mAP,causal_prefix_t_mAP50,causal_prefix_t_mAP25,causal_prefix_t_REC,causal_prefix_t_REC50,causal_prefix_t_REC25,trajectory_current_slice_AP,trajectory_current_slice_AP50,trajectory_current_slice_AP25,trajectory_current_slice_REC,local_current_AP,local_current_AP50,local_current_AP25,local_current_REC
B3,latest,sha256_seed45,5,43,0.020726773887872696,0.04553240165114403,0.16269324719905853,0.10025879740715027,0.21218328177928925,0.30198919773101807,0.44437670707702637,0.6596354246139526,0.806799590587616,0.5617372989654541,0.44437670707702637,0.6596354246139526,0.806799590587616,0.5617372989654541
B3,max,all,2,129,0.19599251449108124,0.3108386695384979,0.5117496252059937,0.34743866324424744,0.5327015519142151,0.6786665320396423,0.35076412558555603,0.5380358099937439,0.7575279474258423,0.4963539242744446,0.371692419052124,0.5463876724243164,0.7624458074569702,0.4963539242744446
B3,max,all,3,129,0.10696184635162354,0.18352775275707245,0.3503607511520386,0.2484811693429947,0.39522600173950195,0.5290064215660095,0.3620140850543976,0.562946081161499,0.7756649255752563,0.5231457352638245,0.38442501425743103,0.5673840641975403,0.775846540927887,0.523158609867096
B3,max,all,4,129,0.052269890904426575,0.09276669472455978,0.23773540556430817,0.1610460728406906,0.2666647434234619,0.39779359102249146,0.350582093000412,0.5729615092277527,0.7812040448188782,0.5050413608551025,0.36625537276268005,0.5726837515830994,0.7827478051185608,0.5050792694091797
B3,max,all,5,129,0.02601892501115799,0.05045916140079498,0.18398331105709076,0.11110973358154297,0.1951153725385666,0.3231087327003479,0.35919731855392456,0.5644722580909729,0.7821195721626282,0.5076167583465576,0.3829203248023987,0.5740538239479065,0.790086030960083,0.5078316926956177
B3,max,canonical,2,43,0.2079838216304779,0.3432333469390869,0.5569115877151489,0.35706475377082825,0.5309151411056519,0.7031175494194031,0.35766181349754333,0.5552637577056885,0.7806110382080078,0.5034977197647095,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B3,max,canonical,3,43,0.11407476663589478,0.19681952893733978,0.3775995373725891,0.25403520464897156,0.3793956935405731,0.5408778786659241,0.35324108600616455,0.563261091709137,0.7831218838691711,0.5032063126564026,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B3,max,canonical,4,43,0.06164165586233139,0.11261094361543655,0.266134649515152,0.17392027378082275,0.26641321182250977,0.4169541597366333,0.35253843665122986,0.5642297267913818,0.7784059643745422,0.5028339624404907,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B3,max,canonical,5,43,0.03673997521400452,0.06960981339216232,0.2127181440591812,0.12317737191915512,0.19316883385181427,0.34522730112075806,0.3519471287727356,0.5528083443641663,0.7758715152740479,0.5031508207321167,0.3725120425224304,0.5643463730812073,0.7785858511924744,0.5034977197647095
B3,max,reverse,2,43,0.2001747190952301,0.32371699810028076,0.5256620645523071,0.3534207344055176,0.5317513346672058,0.6981421709060669,0.35819244384765625,0.5535179376602173,0.7636356353759766,0.5104965567588806,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B3,max,reverse,3,43,0.10026688873767853,0.16967247426509857,0.34107789397239685,0.23906970024108887,0.3725956678390503,0.5323041081428528,0.351837158203125,0.5507428050041199,0.7606233358383179,0.510774552822113,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B3,max,reverse,4,43,0.04615752771496773,0.08167275786399841,0.23031629621982574,0.1557970494031906,0.25237348675727844,0.4024910032749176,0.3510919511318207,0.5465417504310608,0.7545740008354187,0.5111438632011414,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B3,max,reverse,5,43,0.027251409366726875,0.04759588465094566,0.18165135383605957,0.10961723327636719,0.17967185378074646,0.32178205251693726,0.35387149453163147,0.5537059307098389,0.7620500922203064,0.5101860761642456,0.3810356557369232,0.5610835552215576,0.7687671184539795,0.5104965567588806
B3,max,sha256_seed45,2,43,0.19037428498268127,0.2776138186454773,0.4650839865207672,0.32949647307395935,0.5248408913612366,0.6341582536697388,0.3848382830619812,0.5754586458206177,0.7063072919845581,0.522435188293457,0.4066821336746216,0.5765329599380493,0.7118186950683594,0.522435188293457
B3,max,sha256_seed45,3,43,0.12056948244571686,0.19887568056583405,0.34309542179107666,0.25273799896240234,0.4431336224079132,0.5141141414642334,0.4438360333442688,0.6609495282173157,0.7676448225975037,0.6180028915405273,0.4550597369670868,0.6505872011184692,0.7620928287506104,0.6180028915405273
